date,shareprice
01-Oct-2001,1.45891090759775
01-Nov-2001,1.47792382025096
01-Dec-2001,1.46797399140985
01-Jan-2002,1.48726750638444
01-Feb-2002,1.48087238507312
01-Mar-2002,1.479510324613
01-Apr-2002,1.47212562974137
01-May-2002,1.4486895600071
01-Jun-2002,1.43256703590933
01-Jul-2002,1.4340629311795
01-Aug-2002,1.44487067008733
01-Sep-2002,1.44895303814731
01-Oct-2002,1.4524395624932
01-Nov-2002,1.44800605564905
01-Dec-2002,1.43942001945775
01-Jan-2003,1.42458178801791
01-Feb-2003,1.40042532193046
01-Mar-2003,1.36965671153207
01-Apr-2003,1.34883649149135
01-May-2003,1.28655097886125
01-Jun-2003,1.25723159040853
01-Jul-2003,1.25822273705481
01-Aug-2003,1.25831930465451
01-Sep-2003,1.23453493832945
01-Oct-2003,1.20461836470396
01-Nov-2003,1.19011224807501
01-Dec-2003,1.17990620713151
01-Jan-2004,1.16262232452184
01-Feb-2004,1.18245165088269
01-Mar-2004,1.17532585637407
01-Apr-2004,1.1896413918336
01-May-2004,1.21232896242197
01-Jun-2004,1.20089226470873
01-Jul-2004,1.18194225498379
01-Aug-2004,1.17062561408392
01-Sep-2004,1.14672368420608
01-Oct-2004,1.11350313677689
01-Nov-2004,1.07020315004123
01-Dec-2004,1.07473721528743
01-Jan-2005,1.06493168720733
01-Feb-2005,1.075969662392
01-Mar-2005,1.055221120878
01-Apr-2005,1.07147888555994
01-May-2005,1.07803247778528
01-Jun-2005,1.07118393860273
01-Jul-2005,1.06006002290813
01-Aug-2005,1.04403718628332
01-Sep-2005,1.02111146432321
01-Oct-2005,1.01516643717793
01-Nov-2005,1.01023345592109
01-Dec-2005,0.993452031954048
01-Jan-2006,0.98800869184622
01-Feb-2006,0.976244956339424
01-Mar-2006,0.979572875331132
01-Apr-2006,0.965866750959096
01-May-2006,0.942045619950325
01-Jun-2006,0.939630276878658
01-Jul-2006,0.942576704015415
01-Aug-2006,0.933072288341931
01-Sep-2006,0.931581765348734
01-Oct-2006,0.936524303406755
01-Nov-2006,0.940320260910158
01-Dec-2006,0.953062560901718
01-Jan-2007,0.969438594607292
01-Feb-2007,0.968680768949245
01-Mar-2007,0.970727837337637
01-Apr-2007,0.946385580040812
01-May-2007,0.918177966009488
01-Jun-2007,0.88900469301318
01-Jul-2007,0.869226608331823
01-Aug-2007,0.864983028734132
01-Sep-2007,0.836403811819949
01-Oct-2007,0.798323144442632
01-Nov-2007,0.783175179570097
01-Dec-2007,0.795305024744075
01-Jan-2008,0.795436006107117
01-Feb-2008,0.79026390591147
01-Mar-2008,0.792546679191072
01-Apr-2008,0.79771717872524
01-May-2008,0.787485560852602
01-Jun-2008,0.800351625496307
01-Jul-2008,0.793907046943946
01-Aug-2008,0.825323507511587
01-Sep-2008,0.825913646912879
01-Oct-2008,0.92314063122954
01-Nov-2008,0.94521887230921
01-Dec-2008,0.985227433981266
01-Jan-2009,0.984851462090134
01-Feb-2009,1.01035114940172
01-Mar-2009,1.02299662008221
01-Apr-2009,1.00162524051802
01-May-2009,0.954646529287878
